0	9.291549446971956
10	9.291573639423202
20	9.291935047944392
30	9.293489128262623
40	9.297625151968546
50	9.306212536415376
60	9.321527814179923
70	9.34616431109506
80	9.382927135170075
90	9.434716564374755
100	9.504403344829953
110	9.594699756798583
120	9.708030557865158
130	9.846408055099822
140	10.011315576640044
150	10.203603496603483
160	10.423401708238984
170	10.670052036611578
180	10.94206353793048
190	11.23709295865384
200	11.551951841496797
210	11.882640891905769
220	12.22441128791583
230	12.571851663869538
240	12.918998562769522
250	13.259467272927154
260	13.586599181160802
270	13.893621123281996
280	14.173811724184166
290	14.420669418864136
300	14.628076748154607
310	14.790455635413437
320	14.902876539868515
330	14.960220069248901
340	14.958910854020965
350	14.89687917504172
360	14.773077928232825
370	14.587501472310072
380	14.341176658172497
390	14.036126924070487
400	13.675311259493801
410	13.262540658856238
420	12.802375371904569
430	12.300006787286826
440	11.761128143254364
450	11.19179843824348
460	10.598303915990755
470	9.987021334907697
480	9.364286916822007
490	8.736274428838493
500	8.108885311190635
510	7.4876531533450565
520	6.87766417099613
530	6.283494677968344
540	5.709165907337195
550	5.158115939882099
560	4.633187965679114
570	4.136633651792217
580	3.6701300260939043
590	3.2348080196144546
600	2.8312906380499174
610	2.459738653408645
620	2.119901711862156
630	1.8111728334478974
640	1.5326444210871628
650	1.2831640869847216
660	1.061388830030129
670	0.8658363448030495
680	0.6949324985893194
690	0.5470542662156188
700	0.4205676539961042
710	0.31386036605010104
720	0.2253691630705183
730	0.15360203160960764
740	0.09715541921883505
750	0.054726897052717355
760	0.025123687895501887
770	0.007267546145361701
780	0.00019650003895225842
790	0.003063968787097261
800	0.015135752058086805
