Energy
(MeV)	Elec. Stopping Power
(MeV cm2 g-1)	Ionizing Dose*
(MeV g-1)	Ionizing Dose*
(Gy)
7.5000e-01	5.6370e+03	5.6370e+03	9.0337e-07
8.0000e-01	5.8110e+03	5.8110e+03	9.3125e-07
8.5000e-01	5.9810e+03	5.9810e+03	9.5849e-07
9.0000e-01	6.1460e+03	6.1460e+03	9.8494e-07
9.5000e-01	6.3050e+03	6.3050e+03	1.0104e-06
1.0000e+00	6.4610e+03	6.4610e+03	1.0354e-06
1.5000e+00	7.7820e+03	7.7820e+03	1.2471e-06
2.0000e+00	8.7150e+03	8.7150e+03	1.3966e-06
2.5000e+00	9.3280e+03	9.3280e+03	1.4949e-06
3.0000e+00	9.7060e+03	9.7060e+03	1.5554e-06
3.5000e+00	9.9220e+03	9.9220e+03	1.5901e-06
4.0000e+00	1.0030e+04	1.0030e+04	1.6074e-06
4.5000e+00	1.0060e+04	1.0060e+04	1.6122e-06
5.0000e+00	1.0040e+04	1.0040e+04	1.6090e-06
5.5000e+00	9.9840e+03	9.9840e+03	1.6000e-06
6.0000e+00	9.8990e+03	9.8990e+03	1.5864e-06
6.5000e+00	9.7930e+03	9.7930e+03	1.5694e-06
7.0000e+00	9.6730e+03	9.6730e+03	1.5502e-06
7.5000e+00	9.5410e+03	9.5410e+03	1.5290e-06
8.0000e+00	9.4030e+03	9.4030e+03	1.5069e-06
8.5000e+00	9.2590e+03	9.2590e+03	1.4838e-06
9.0000e+00	9.1120e+03	9.1120e+03	1.4603e-06
9.5000e+00	8.9640e+03	8.9640e+03	1.4365e-06
1.0000e+01	8.8150e+03	8.8150e+03	1.4127e-06
1.5000e+01	7.4430e+03	7.4430e+03	1.1928e-06
2.0000e+01	6.3700e+03	6.3700e+03	1.0208e-06
2.5000e+01	5.6000e+03	5.6000e+03	8.9744e-07
3.0000e+01	5.0480e+03	5.0480e+03	8.0897e-07
3.5000e+01	4.5350e+03	4.5350e+03	7.2676e-07
4.0000e+01	4.1240e+03	4.1240e+03	6.6090e-07
4.5000e+01	3.7860e+03	3.7860e+03	6.0673e-07
5.0000e+01	3.5030e+03	3.5030e+03	5.6138e-07
